ï»¿X,Y,OBJECTID_1,OBJECTID,SCHID,NAME,ADDRESS,TOWN_MAIL,TOWN,STATE,ZIP,PRINCIPAL,PHONE,FAX,GRADES,TYPE
-71.10514315,42.32767574,85,163,5300,Roxbury Prep - Mission Hill,120 Fisher Avenue,Roxbury,BOSTON,MA,2120,Dana Lehman,617-566-2361,617-566-2373,"6,7,8",CHA
-71.0587171,42.30140264,86,153,5470,Helen Davis Leadership Academy Charter Public School,23 Leonard Street,Boston,BOSTON,MA,2122,Karmala Sherwood,617-474-7950,617-474-7957,"6,7,8",CHA
-71.13015021,42.30659299,87,1100,350950,British School of Boston,416-420 Pond Street,Jamaica Plain,BOSTON,MA,2130,Bruce Robinson,617-522-2261,617-522-0385,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",PRI
-71.09573938,42.34934645,88,206,5230001,EDCO Collaborative - EDCO YOUTH ALT,"650 Beacon St , 3rd Floor",Boston,BOSTON,MA,2215, ,617-262-9562,617-262-0098, ,COP
-71.13213194,42.24427046,89,134,5600,Academy Of the Pacific Rim Charter Public School,1 Westinghouse Plaza,Hyde Park,BOSTON,MA,2136,Jenne Colasacco,617-361-0050,617-361-0045,"5,6,7,8,9,10,11,12",CHA
-71.06087155,42.32163975,90,136,5500,Boston Collegiate Charter School (Middle and High School),11 Mayhew Street,Dorchester,BOSTON,MA,2125,Tobey Jackson,617-265-1172,617-265-1176,"5,6,7,8,9,10,11,12",CHA
-71.12373837,42.25480709,91,137,5520,Boston Preparatory Charter Public School,1286 Hyde Park Avenue,Hyde Park,BOSTON,MA,2136,Amanda Colley,617-333-6688,617-333-6689,"6,7,8,9,10",CHA
-71.12682235,42.25037634,92,138,5400,Boston Renaissance Charter Public School,1415 Hyde Park Avenue,Hyde Park,BOSTON,MA,2136,Roger Harris,617-357-0900,617-338-2647,"K,1,2,3,4,5,6",CHA
-71.07193118,42.28944832,93,143,5440,Codman Academy Charter Public School,637 Washington Street,Dorchester,BOSTON,MA,2124,Thabiti Brown,617-287-0700,617-287-9064,"9,10,11,12",CHA
-71.15176139,42.34885965,94,144,5201,Conservatory Lab Charter School - Brighton,320 Washington Street,Brighton,BOSTON,MA,2135,Brad Kershner,617-208-6200,617-254-8909,"K,1,2",CHA
-71.12200418,42.2816986,95,149,5450,Edward Brooke Charter School - Roslindale,190 Cummins Highway,Roslindale,BOSTON,MA,2131,Jon Clark,617-325-7977,617-325-2260,"K,1,2,3,5,6,7,8",CHA
-71.01867085,42.38279299,96,151,5490,Excel Academy Charter School - East Boston,58 Moore St.,East Boston,BOSTON,MA,2128,Komal Bhasin,617-561-1371,617-561-1378,"5,6,7,8",CHA
-71.12098465,42.35215802,97,157,5431,MATCH Charter Public High School,1001 Commonwealth Avenue,Boston,BOSTON,MA,2215,Jorge Miranda,617-232-0300,617-232-2838,"9,10,11,12",CHA
-71.05347197,42.29334426,98,159,5700,Neighborhood House Charter School,21 Queen Street,Dorchester,BOSTON,MA,2122,Kevin Andrews,617-825-0703,617-825-1829,"PK,K,1,2,3,4,5,6,7,8",CHA
-71.06884783,42.34111018,99,166,8027,Cathedral High,74 Union Park,Boston,BOSTON,MA,2118,Christol Murch,617-542-2325,617-542-1745,"9,10,11,12",PRI
-71.07204551,42.35835597,100,1521,350702,The Advent School,15 Brimmer Street,Boston,BOSTON,MA,2108,Nicole A. DuFauchard,617-742-0520,--,"K,1,2,3,4,5,6",PRI
-71.05286197,42.36388729,101,186,8168,St John Elementary,9 Moon,Boston,BOSTON,MA,2113,Karen McLaughlin,617-227-3143,617-227-2188,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.08771499,42.28265721,102,1128,350705,Berea SDA Academy,800 Morton St.,Mattapan,BOSTON,MA,2126,Grafton Jones,617-436-8301,617-436-8304,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.06717431,42.27444064,103,178,8081,Pope John Paul II Academy (Lower MIlls),2214 Dorchester Avenue,Dorchester,BOSTON,MA,2124,George Milot,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.09222198,42.27076677,104,179,8064,Pope John Paul II Academy (Mattapan),120 Babson,Mattapan,BOSTON,MA,2126,Kathleen Aldridge,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.04952147,42.29044771,105,180,8065,Pope John Paul II Academy (Neponset),239 Neponset Avenue,Dorchester,BOSTON,MA,2122,Kate Brandley,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.14385579,42.35236082,106,182,8103,Saint Joseph Preparatory High School,617 Cambridge,Brighton,BOSTON,MA,2135,Tom Nunan,617-254-8383,617-254-0240,"9,10,11,12",PRI
-71.02966389,42.33605274,107,183,8071,South Boston Catholic Academy,866 East Broadway,South Boston,BOSTON,MA,2127,Nancy Carr,617-268-2326,--,"PK,K,1,2,3,4,5",PRI
-71.07810276,42.35233119,110,1523,350724,Commonwealth School,151 Commonwealth Avenue,Boston,BOSTON,MA,2116,William Wharton,617-266-7525,--,"9,10,11,12",PRI
-71.07724592,42.35351813,111,1524,350765,The Learning Project,107 Marlborough Street,Boston,BOSTON,MA,2115,Michael Mccord,617-266-8427,--,"K,1,2,3,4,5,6",PRI
-71.08239986,42.35208975,112,1525,350794,The Newman School,247 Marlborough Street,Boston,BOSTON,MA,2116,John Colahan,617-267-4530,617-267-7070,"9,10,11,12",PRI
-71.04006084,42.37153708,113,169,8034,E Boston Central Catholic,69 London,East Boston,BOSTON,MA,2128,Maryann Manfredonia,617-567-7456,--,"PK,K,1,2,3,4,5,6,7,8",PRI
