OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ShapeSTArea,ShapeSTLength
1,Wilson Park,City of Boston, ,1,Allston-Brighton,0.097176,Off 1686 Commonwealth Ave.,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X,4233.047119,256.730008
2,Nickerson Field,Private, ,3,Allston-Brighton,6.345595, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, ,276419.033,2104.702611
3,Hooker-Sorrento Street Playground,City of Boston,A97,3,Allston-Brighton,1.005378,120 Hooker Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,43737.35034,852.844112
4,Smith Playground,City of Boston,A97,3,Allston-Brighton,14.797712,235 Western Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,654457.5029,3624.893621
5,Fern Square,City of Boston,A97,1,Allston-Brighton,0.040543,Opposite 101 Franklin Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,1938.695312,207.320531
6,Ringer Playground,City of Boston,A97,3,Allston-Brighton,10.255855, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,446752.9839,3768.379823
7,Kennedy Rock,Private, ,6,Allston-Brighton,2.210543, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,,96292.97144,1270.349749
8,Overlook Park,City of Boston,A97,3,Allston-Brighton,5.10486,Opposite 1505 Commonwealth Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,224429.4087,2645.195329
9,Cunningham Park,City of Boston,A97,1,Allston-Brighton,0.175855, ,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,7660.373779,428.794405
10,McKinney Playground,City of Boston,A97,3,Allston-Brighton,5.891381,61-74 Faneuil Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,256633.1333,2170.126268
11,Hobart Park,City of Boston,A97,3,Allston-Brighton,0.808847,Opposite 18 Ranlegh Rd.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,35233.99707,797.596802
12,Market Street Burying Ground,City of Boston,Ch114S7/A97,4,Allston-Brighton,0.395348,Opposite 381 Market Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,A,17221.65601,536.818225
13,Jackson Square,City of Boston,A97,1,Allston-Brighton,0.120313,Opposite 63 Chestnut Hill Ave,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,5240.939209,277.790322
