ï»¿X,Y,OBJECTID,BLDG_ID,BLDG_NAME,ADDRESS,CITY,ZIPCODE,CSP_SCH_ID,SCH_ID,SCH_NAME,SCH_LABEL,SCH_TYPE,SHARED,COMPLEX
-71.00412057,42.38879868,1,1,Guild Bldg,195 Leyden Street,East Boston,2128,4061,4061,Guild Elementary,Guild,ES, , 
-71.03048029,42.3785453,2,3,"Kennedy, P Bldg",343 Saratoga Street,East Boston,2128,4541,4541,Kennedy Patrick Elem,PJ Kennedy,ES, , 
-71.03389058,42.37527868,3,4,Otis Bldg,218 Marion Street,East Boston,2128,4322,4322,Otis Elementary,Otis,ES, , 
-71.03801072,42.37808862,4,6,Odonnell Bldg,33 Trenton Street,East Boston,2128,4543,4543,O'Donnell Elementary,O'Donnell,ES, , 
-71.03492143,42.38095746,5,7,East Boston High Bldg,86 White Street,East Boston,2128,1070,1070,East Boston High,East Boston HS,HS, , 
-71.04032982,42.37828999,6,8,Umana / Barnes Bldg,312 Border Street,East Boston,2128,4323,4323,Umana/ Alighieri K-8,Umana/ Alighieri K-8,K-8, , 
-71.03411995,42.36967602,7,10,East Boston Eec Bldg,135 Gove Street,East Boston,2128,4450,4450,East Boston EEC,East Boston EEC,ELC, , 
-71.03430758,42.36927368,8,11,Mckay Bldg,122 Cottage Street,East Boston,2128,4360,4360,McKay K-8,McKay K-8,K-8, , 
-71.03489031,42.365563,9,12,Adams Bldg,165 Webster Street,East Boston,2128,4361,4361,Adams Elementary,Adams,ES, , 
-71.05749225,42.37662852,10,13,Harvard-Kent,50 Bunker Hill Street,Charlestown,2129,4280,4280,Harvard/Kent Elem,Harvard/Kent,ES, , 
-71.06107059,42.38011868,11,14,Charlestown High Bldg #1 -  Main,240 Medford Street,Charlestown,2129,1050,1050,Charlestown High,Charlestown HS,HS, , 
-71.06723124,42.37908036,12,15,Edwards Bldg,28 Walker Street,Charlestown,2129,2010,2010,Edwards Middle,Edwards MS,MS, , 
-71.06443059,42.37799868,13,16,Warren-Prescott Bldg,50 School Street,Charlestown,2129,4283,4283,Warren/Prescott,Warren/Prescott K-8,K-8, , 
-71.05336967,42.36610274,14,17,Eliot Bldg,16 Charter Street,Boston,2113,4381,4381,Eliot K-8,Eliot K-8,K-8, , 
-71.06905025,42.34840829,15,21,Abraham Lincoln Building,152 Arlington Street,Boston,2116,1450,1450,Quincy Upper School,Quincy Upper (6-12),K-12, , 
-71.06492059,42.34797867,16,22,Boston HS Bldg,885 Washington Street,Boston,2111,4650,4650,Quincy Lower (K-5),Quincy Lower (K-5),K-12, , 
-71.0779706,42.35057867,17,24,Snowden Hs Bldg,150 Newbury Street,Boston,2116,1200,1200,Snowden International,Snowden HS,HS, , 
-71.07352059,42.34436867,18,26,Mckinley Mackey Bldg,90 Warren Avenue,Boston,2116,1291,1291,McKinley Elementary,McKinley Elem,Special,Shared, 
-71.07352059,42.34436867,19,26,Mckinley Mackey Bldg,90 Warren Avenue,Boston,2116,1294,1294,McKinley So. End Acad,McKinley S. End Acad,Special,Shared, 
-71.0777406,42.33875867,20,27,Hurley Bldg,70 Worcester Street,Boston,2118,4260,4260,Hurley Elementary,Hurley K-8,K-8, , 
-71.07246107,42.34073755,21,28,Blackstone Bldg,380 Shawmut Avenue,Boston,2118,4640,4640,Blackstone Elementary,Blackstone,ES, , 
-71.07133141,42.32621703,22,31,Mason Bldg,150 Norfolk Avenue,Roxbury,2119,4121,4121,Mason Elementary,Mason,ES, , 
-71.05819134,42.3231762,23,33,Clap Bldg,35 Harvest Street,Dorchester,2125,4531,4531,Clap Elementary,Clap,ES, , 
-71.05054059,42.33131867,24,35,Perkins Bldg,50 Burke Street,South Boston,2127,4022,4022,Perkins Elementary,Perkins,ES, , 
