Zip Code,Land Area (sq mi),,,Source:,http://www.unitedstateszipcodes.org/02116/,,,
BOSTON MA 02108,0.14,,,Specialty Zip Codes (Area N/A),,,,
BOSTON MA 02109,0.17,,,BOSTON MA 02112,,,,
BOSTON MA 02110,0.19,,,This ZIP Codeª used for a specific PO BOX,,,,
BOSTON MA 02111,0.26,,,BOSTON MA 02117,,,,
BOSTON MA 02113,0.10,,,This ZIP Codeª used for a specific PO BOX,,,,
BOSTON MA 02114,0.45,,,BOSTON MA 02123,,,,
BOSTON MA 02115,0.71,,,This ZIP Codeª used for a specific PO BOX,,,,
BOSTON MA 02116,0.63,,,BOSTON MA 02137,,,,
BOSTON MA 02118,1.10,,,This ZIP Codeª used for a specific PO BOX,,,,
BOSTON MA 02119,1.60,,,BOSTON MA 02196,,,,
BOSTON MA 02120,0.62,,,This ZIP Codeª used for a specific PO BOX,,,,
BOSTON MA 02121,1.75,,,BOSTON MA 02201,,,,
BOSTON MA 02122,2.03,,,This is a UNIQUE ZIP Codeª used for a specific company or organization,,,,
BOSTON MA 02124,3.00,,,BOSTON MA 02204,,,,
BOSTON MA 02125,2.13,,,This is a UNIQUE ZIP Codeª used for a specific company or organization,,,,
BOSTON MA 02126,2.08,,,BOSTON MA 02205,,,,
BOSTON MA 02127,2.02,,,This ZIP Codeª used for a specific PO BOX,,,,
BOSTON MA 02128,4.85,,,BOSTON MA 02206,,,,
BOSTON MA 02129,1.35,,,This is a UNIQUE ZIP Codeª used for a specific company or organization,,,,
BOSTON MA 02130,3.33,,,BOSTON MA 02211,,,,
BOSTON MA 02131,2.59,,,This is a UNIQUE ZIP Codeª used for a specific company or organization,,,,
BOSTON MA 02132,4.56,,,BOSTON MA 02212,,,,
BOSTON MA 02134,1.33,,,This is a UNIQUE ZIP Codeª used for a specific company or organization,,,,
BOSTON MA 02135,2.63,,,BOSTON MA 02217,,,,
BOSTON MA 02136,4.59,,,This is a UNIQUE ZIP Codeª used for a specific company or organization,,,,
BOSTON MA 02163,0.10,,,BOSTON MA 02241,,,,
BOSTON MA 02199,0.06,,,This is a UNIQUE ZIP Codeª used for a specific company or organization,,,,
BOSTON MA 02203,0.03,,,BOSTON MA 02266,,,,
BOSTON MA 02210,0.93,,,This is a UNIQUE ZIP Codeª used for a specific company or organization,,,,
BOSTON MA 02215,0.76,,,BOSTON MA 02283,,,,
,,,,This ZIP Codeª used for a specific PO BOX,,,,
,,,,BOSTON MA 02284,,,,
Not Available:,,,,This ZIP Codeª used for a specific PO BOX,,,,
BOSTON MA 02222,,,,BOSTON MA 02293,,,,
BOSTON MA 02133,,,,This is a UNIQUE ZIP Codeª used for a specific company or organization,,,,
,,,,BOSTON MA 02297,,,,
,,,,This is a UNIQUE ZIP Codeª used for a specific company or organization,,,,
,,,,BOSTON MA 02298,,,,
,,,,This ZIP Codeª used for a specific PO BOX,,,,
